county,state,fips,cases,deaths
Wright,Missouri,29229,1597,32
Worth,Missouri,29227,163,2
Washington,Missouri,29221,2759,49
Webster,Missouri,29225,3611,54
Wayne,Missouri,29223,1036,14
Stoddard,Missouri,29207,2494,41
Shelby,Missouri,29205,632,7
Stone,Missouri,29209,2451,46
Shannon,Missouri,29203,588,12
Scott,Missouri,29201,4710,84
Warren,Missouri,29219,3173,31
Vernon,Missouri,29217,1956,46
Campbell,Wyoming,56005,4936,60
Sullivan,Missouri,29211,845,14
Carbon,Wyoming,56007,1606,23
Albany,Wyoming,56001,4472,12
Texas,Missouri,29215,1840,23
Taney,Missouri,29213,5328,94
Big Horn,Wyoming,56003,1165,33
Converse,Wyoming,56009,1008,17
Franklin,Kansas,20059,2572,42
Ford,Kansas,20057,5763,75
Floyd,Iowa,19067,1616,42
Finney,Kansas,20055,6079,72
Franklin,Iowa,19069,1219,21
Ellsworth,Kansas,20053,1222,26
Emmet,Iowa,19063,1344,40
Fayette,Iowa,19065,1852,41
Dubuque,Iowa,19061,13399,209
Montgomery,Virginia,51121,9394,96
Nelson,Virginia,51125,898,13
Ellis,Kansas,20051,3748,72
New Kent,Virginia,51127,1501,18
Gray,Kansas,20069,611,14
Grant,Kansas,20067,980,18
Guthrie,Iowa,19077,1222,31
Graham,Kansas,20065,265,9
Hamilton,Iowa,19079,1803,50
Washoe,Nevada,32031,45783,678
Greene,Iowa,19073,777,10
Grundy,Iowa,19075,1365,33
Fremont,Iowa,19071,625,9
Northampton,Virginia,51131,808,36
Northumberland,Virginia,51133,747,20
Nottoway,Virginia,51135,1915,47
White Pine,Nevada,32033,625,6
Orange,Virginia,51137,2215,38
Gove,Kansas,20063,386,19
Page,Virginia,51139,2052,56
Geary,Kansas,20061,3428,40
Dallas,Iowa,19049,11219,98
Newport,Rhode Island,44005,6806,42
Crawford,Kansas,20037,4739,83
Providence,Rhode Island,44007,97640,1971
Cowley,Kansas,20035,3987,108
Bristol,Rhode Island,44001,5096,143
Clinton,Iowa,19045,5577,93
Comanche,Kansas,20033,170,9
Kent,Rhode Island,44003,18525,361
Crawford,Iowa,19047,2669,40
Coffey,Kansas,20031,737,23
Clay,Iowa,19041,2158,26
Clayton,Iowa,19043,1697,56
Washington,Rhode Island,44009,9935,169
Decatur,Kansas,20039,267,12
Pershing,Nevada,32027,956,20
Patrick,Virginia,51141,1362,43
Nye,Nevada,32023,2939,107
Pittsylvania,Virginia,51143,5553,81
Mineral,Nevada,32021,309,7
Powhatan,Virginia,51145,1918,17
Prince Edward,Virginia,51147,2171,34
Prince George,Virginia,51149,3549,29
Storey,Nevada,32029,110,3
Elk,Kansas,20049,179,5
Dickinson,Iowa,19059,2485,44
Edwards,Kansas,20047,267,12
Douglas,Kansas,20045,9300,87
Delaware,Iowa,19055,2102,41
Doniphan,Kansas,20043,970,23
Des Moines,Iowa,19057,4612,66
Davis,Iowa,19051,839,24
Decatur,Iowa,19053,608,9
Lincoln,Nevada,32017,362,3
Prince William,Virginia,51153,45229,498
Lander,Nevada,32015,467,9
Pulaski,Virginia,51155,2658,61
Humboldt,Nevada,32013,1187,14
Rappahannock,Virginia,51157,360,2
Eureka,Nevada,32011,55,0
Richmond,Virginia,51159,1518,15
Dickinson,Kansas,20041,1775,45
Lyon,Nevada,32019,3217,65
Carroll,Iowa,19027,2863,52
Butler,Kansas,20015,7567,87
Cass,Iowa,19029,1389,54
Brown,Kansas,20013,1240,38
Butler,Iowa,19023,1652,35
Bourbon,Kansas,20011,1419,25
Calhoun,Iowa,19025,1387,13
Buena Vista,Iowa,19021,4250,40
Chautauqua,Kansas,20019,267,6
Chase,Kansas,20017,271,3
Douglas,Nevada,32005,2896,35
Roanoke,Virginia,51161,8266,145
Clark,Nevada,32003,249573,4375
Rockbridge,Virginia,51163,1553,46
Churchill,Nevada,32001,2061,49
Rockingham,Virginia,51165,6774,107
Russell,Virginia,51167,2282,38
Scott,Virginia,51169,1847,57
Esmeralda,Nevada,32009,38,0
Elko,Nevada,32007,4932,56
Clay,Kansas,20027,826,29
Chickasaw,Iowa,19037,1243,16
Clark,Kansas,20025,252,7
