county,state,fips,cases,deaths
Wright,Missouri,29229,1590,32
Worth,Missouri,29227,162,2
Washington,Missouri,29221,2756,49
Webster,Missouri,29225,3605,54
Wayne,Missouri,29223,1036,12
Stoddard,Missouri,29207,2489,37
Shelby,Missouri,29205,616,7
Stone,Missouri,29209,2436,46
Shannon,Missouri,29203,587,12
Scott,Missouri,29201,4706,84
Warren,Missouri,29219,3162,31
Vernon,Missouri,29217,1952,44
Campbell,Wyoming,56005,4880,60
Sullivan,Missouri,29211,844,14
Carbon,Wyoming,56007,1595,23
Albany,Wyoming,56001,4413,12
Texas,Missouri,29215,1839,23
Taney,Missouri,29213,5310,92
Big Horn,Wyoming,56003,1160,33
Converse,Wyoming,56009,1003,17
Franklin,Kansas,20059,2563,43
Ford,Kansas,20057,5761,75
Floyd,Iowa,19067,1611,42
Finney,Kansas,20055,6065,71
Franklin,Iowa,19069,1208,21
Ellsworth,Kansas,20053,1222,26
Emmet,Iowa,19063,1342,40
Fayette,Iowa,19065,1852,41
Dubuque,Iowa,19061,13382,209
Montgomery,Virginia,51121,9386,96
Nelson,Virginia,51125,899,12
Ellis,Kansas,20051,3747,71
New Kent,Virginia,51127,1499,18
Gray,Kansas,20069,611,14
Grant,Kansas,20067,978,18
Guthrie,Iowa,19077,1215,30
Graham,Kansas,20065,265,9
Hamilton,Iowa,19079,1802,49
Washoe,Nevada,32031,45712,676
Greene,Iowa,19073,777,10
Grundy,Iowa,19075,1364,33
Fremont,Iowa,19071,622,9
Northampton,Virginia,51131,806,36
Northumberland,Virginia,51133,743,20
Nottoway,Virginia,51135,1920,48
White Pine,Nevada,32033,612,6
Orange,Virginia,51137,2203,38
Gove,Kansas,20063,386,19
Page,Virginia,51139,2040,56
Geary,Kansas,20061,3419,40
Dallas,Iowa,19049,11186,98
Newport,Rhode Island,44005,6806,42
Crawford,Kansas,20037,4735,83
Providence,Rhode Island,44007,97640,1971
Cowley,Kansas,20035,3977,108
Bristol,Rhode Island,44001,5096,143
