county,state,fips,cases,deaths
Wright,Missouri,29229,1593,32
Worth,Missouri,29227,162,2
Washington,Missouri,29221,2757,49
Webster,Missouri,29225,3607,54
Wayne,Missouri,29223,1036,14
Stoddard,Missouri,29207,2489,41
Shelby,Missouri,29205,620,7
Stone,Missouri,29209,2439,46
Shannon,Missouri,29203,588,12
Scott,Missouri,29201,4708,84
Warren,Missouri,29219,3167,31
Vernon,Missouri,29217,1955,46
Campbell,Wyoming,56005,4914,60
Sullivan,Missouri,29211,844,14
Carbon,Wyoming,56007,1599,23
Albany,Wyoming,56001,4451,12
Texas,Missouri,29215,1839,23
Taney,Missouri,29213,5318,94
Big Horn,Wyoming,56003,1163,33
Converse,Wyoming,56009,1006,17
Franklin,Kansas,20059,2563,43
Ford,Kansas,20057,5763,75
Floyd,Iowa,19067,1613,42
Finney,Kansas,20055,6074,71
Franklin,Iowa,19069,1212,21
Ellsworth,Kansas,20053,1222,26
Emmet,Iowa,19063,1343,40
Fayette,Iowa,19065,1852,41
Dubuque,Iowa,19061,13390,209
Montgomery,Virginia,51121,9389,96
Nelson,Virginia,51125,899,13
Ellis,Kansas,20051,3747,71
New Kent,Virginia,51127,1499,18
Gray,Kansas,20069,611,14
Grant,Kansas,20067,980,18
Guthrie,Iowa,19077,1217,30
Graham,Kansas,20065,265,9
Hamilton,Iowa,19079,1802,50
Washoe,Nevada,32031,45775,677
Greene,Iowa,19073,777,10
Grundy,Iowa,19075,1365,33
Fremont,Iowa,19071,623,9
Northampton,Virginia,51131,807,36
Northumberland,Virginia,51133,743,20
Nottoway,Virginia,51135,1920,48
White Pine,Nevada,32033,616,6
Orange,Virginia,51137,2210,38
Gove,Kansas,20063,386,19
Page,Virginia,51139,2043,56
Geary,Kansas,20061,3422,40
Dallas,Iowa,19049,11202,98
Newport,Rhode Island,44005,6806,42
Crawford,Kansas,20037,4735,83
Providence,Rhode Island,44007,97640,1971
Cowley,Kansas,20035,3982,108
Bristol,Rhode Island,44001,5096,143
Clinton,Iowa,19045,5563,93
Comanche,Kansas,20033,170,9
Kent,Rhode Island,44003,18525,361
Crawford,Iowa,19047,2665,40
Coffey,Kansas,20031,736,23
Clay,Iowa,19041,2157,26
Clayton,Iowa,19043,1696,56
Washington,Rhode Island,44009,9935,169
Decatur,Kansas,20039,267,12
Pershing,Nevada,32027,954,20
Patrick,Virginia,51141,1352,43
Nye,Nevada,32023,2939,107
Pittsylvania,Virginia,51143,5541,81
Mineral,Nevada,32021,309,7
Powhatan,Virginia,51145,1911,17
Prince Edward,Virginia,51147,2169,34
Prince George,Virginia,51149,3542,29
Storey,Nevada,32029,110,3
Elk,Kansas,20049,179,5
Dickinson,Iowa,19059,2485,44
Edwards,Kansas,20047,267,12
Douglas,Kansas,20045,9287,87
Delaware,Iowa,19055,2100,41
Doniphan,Kansas,20043,970,23
Des Moines,Iowa,19057,4597,66
Davis,Iowa,19051,836,24
Decatur,Iowa,19053,608,9
Lincoln,Nevada,32017,362,3
Prince William,Virginia,51153,45162,496
Lander,Nevada,32015,467,9
Pulaski,Virginia,51155,2657,61
Humboldt,Nevada,32013,1178,14
Rappahannock,Virginia,51157,359,2
Eureka,Nevada,32011,55,0
Richmond,Virginia,51159,1516,15
Dickinson,Kansas,20041,1776,45
Lyon,Nevada,32019,3212,65
Carroll,Iowa,19027,2861,52
Butler,Kansas,20015,7562,87
Cass,Iowa,19029,1387,54
Brown,Kansas,20013,1239,38
Butler,Iowa,19023,1652,34
Bourbon,Kansas,20011,1417,26
Calhoun,Iowa,19025,1386,13
Buena Vista,Iowa,19021,4249,40
Chautauqua,Kansas,20019,267,6
Chase,Kansas,20017,270,3
