state,fips,cases,deaths
Washington,53,432490,5767
Illinois,17,1381201,25029
California,06,3779843,62978
Arizona,04,877682,17569
Massachusetts,25,705598,17835
Wisconsin,55,673236,7760
Texas,48,2947263,51449
Nebraska,31,223126,2376
Utah,49,404880,2292
Oregon,41,199408,2654
Florida,12,2313807,36580
New York,36,2095438,52638
Rhode Island,44,151502,2707
Georgia,13,1096340,20048
New Hampshire,33,98428,1344
North Carolina,37,999342,13027
New Jersey,34,1014579,26112
Colorado,08,542261,6664
Maryland,24,458871,9029
Nevada,32,323022,5563
Tennessee,47,846891,12300
Hawaii,15,34708,493
Indiana,18,744389,13566
Kentucky,21,458683,6888
Minnesota,27,599570,7474
Oklahoma,40,452377,6918
Pennsylvania,42,1202166,27137
South Carolina,45,591525,9705
District of Columbia,11,48803,1130
Kansas,20,315298,5094
Missouri,29,612800,9618
Vermont,50,24136,255
Virginia,51,673759,11137
Connecticut,09,346892,8221
Iowa,19,370875,6039
Louisiana,22,469445,10548
Ohio,39,1098594,19753
Michigan,26,986887,20211
South Dakota,46,124023,2004
Arkansas,05,340515,5824
Delaware,10,108483,1660
Mississippi,28,316911,7298
New Mexico,35,202405,4253
North Dakota,38,109743,1537
Wyoming,56,59870,719
Alaska,02,69476,352
Maine,23,67132,824
Alabama,01,542562,11124
Idaho,16,191618,2089
Montana,30,111479,1606
West Virginia,54,160587,2782
