state,fips,cases,deaths
Washington,53,429526,5747
Illinois,17,1379411,25001
California,06,3777148,62927
Arizona,04,876732,17555
Massachusetts,25,705142,17823
Wisconsin,55,672632,7748
Texas,48,2941993,51381
Nebraska,31,222884,2377
Utah,49,404547,2290
Oregon,41,198689,2644
Florida,12,2310327,36473
New York,36,2093529,52591
Rhode Island,44,151258,2704
Georgia,13,1095388,20010
New Hampshire,33,98303,1344
North Carolina,37,996511,12984
New Jersey,34,1014088,26079
Colorado,08,540406,6649
Maryland,24,458483,9007
Nevada,32,322352,5552
Tennessee,47,845649,12280
Hawaii,15,34654,493
Indiana,18,743524,13553
Kentucky,21,457993,6875
Minnesota,27,598859,7463
Oklahoma,40,451830,6918
Pennsylvania,42,1200202,27089
South Carolina,45,590981,9684
District of Columbia,11,48748,1127
Kansas,20,315046,5092
Missouri,29,612035,9572
Vermont,50,24106,255
Virginia,51,673029,11106
Connecticut,09,346325,8212
Iowa,19,370625,6035
Louisiana,22,467815,10522
Ohio,39,1097300,19709
Michigan,26,984470,20125
South Dakota,46,123911,2001
Arkansas,05,340137,5817
Delaware,10,108365,1659
Mississippi,28,316272,7279
New Mexico,35,201868,4133
North Dakota,38,109633,1537
Wyoming,56,59660,713
Alaska,02,69329,352
Maine,23,66979,820
Alabama,01,542124,11112
Idaho,16,191139,2082
Montana,30,111303,1603
West Virginia,54,159735,2772
