state,fips,cases,deaths
Washington,53,397006,5478
Illinois,17,1324610,24139
California,06,3731679,61462
Arizona,04,858737,17268
Massachusetts,25,682784,17550
Wisconsin,55,656668,7473
Texas,48,2874314,50100
Nebraska,31,218732,2356
Utah,49,395495,2182
Oregon,41,180700,2497
Florida,12,2208576,34847
New York,36,2029307,51471
Rhode Island,44,146324,2660
Georgia,13,1069495,19357
New Hampshire,33,93821,1284
North Carolina,37,957970,12553
New Jersey,34,997891,25380
Colorado,08,504495,6388
Maryland,24,443443,8661
Nevada,32,312840,5422
Tennessee,47,826672,12045
Hawaii,15,32284,475
Indiana,18,718090,13274
Kentucky,21,444211,6557
Minnesota,27,568321,7157
Oklahoma,40,446550,6716
Pennsylvania,42,1138529,26038
South Carolina,45,574985,9430
District of Columbia,11,47323,1099
Kansas,20,309544,5009
Missouri,29,597547,9180
Vermont,50,22576,244
Virginia,51,654210,10691
Connecticut,09,334766,8047
Iowa,19,362923,5927
Louisiana,22,455541,10336
Ohio,39,1064306,19122
Michigan,26,911145,18398
South Dakota,46,121986,1958
Arkansas,05,334706,5718
Delaware,10,103222,1616
Mississippi,28,310349,7175
New Mexico,35,196221,4026
North Dakota,38,106719,1517
Wyoming,56,57696,705
Alaska,02,66518,318
Maine,23,59776,772
Alabama,01,526131,10851
Idaho,16,186300,2033
Montana,30,108170,1563
West Virginia,54,151382,2821
