state,fips,cases,deaths
Washington,53,421279,5669
Illinois,17,1365634,24671
California,06,3765064,62572
Arizona,04,871168,17438
Massachusetts,25,699908,17722
Wisconsin,55,668421,7706
Texas,48,2925134,51003
Nebraska,31,222247,2387
Utah,49,401736,2255
Oregon,41,193732,2578
Florida,12,2282605,35928
New York,36,2077961,52332
Rhode Island,44,150231,2698
Georgia,13,1088851,19814
New Hampshire,33,97304,1326
North Carolina,37,988497,12876
New Jersey,34,1009521,25905
Colorado,08,531417,6558
Maryland,24,454937,8896
Nevada,32,320150,5523
Tennessee,47,841695,12206
Hawaii,15,33835,486
Indiana,18,736022,13450
Kentucky,21,454028,6735
Minnesota,27,591538,7367
Oklahoma,40,450696,6878
Pennsylvania,42,1186310,26751
South Carolina,45,585957,9619
District of Columbia,11,48404,1115
Kansas,20,313425,5071
Missouri,29,607836,9377
Vermont,50,23724,252
Virginia,51,668726,10961
Connecticut,09,344612,8168
Iowa,19,368823,5998
Louisiana,22,464412,10469
Ohio,39,1088343,19441
Michigan,26,971849,19633
South Dakota,46,123599,1989
Arkansas,05,338235,5783
Delaware,10,106580,1648
Mississippi,28,314509,7247
New Mexico,35,200432,4114
North Dakota,38,108907,1533
Wyoming,56,58996,712
Alaska,02,68785,336
Maine,23,65043,798
Alabama,01,532895,11001
Idaho,16,189815,2066
Montana,30,110531,1597
West Virginia,54,157626,2751
