state,fips,cases,deaths
Washington,53,434154,5785
Illinois,17,1382318,25057
California,06,3781111,63013
Arizona,04,878338,17576
Massachusetts,25,706027,17841
Wisconsin,55,673601,7765
Texas,48,2949105,51510
Nebraska,31,223197,2376
Utah,49,405148,2292
Oregon,41,199858,2667
Florida,12,2316134,36646
New York,36,2096320,52664
Rhode Island,44,151580,2708
Georgia,13,1096882,20083
New Hampshire,33,98470,1346
North Carolina,37,1000144,13054
New Jersey,34,1014974,26137
Colorado,08,543060,6675
Maryland,24,459069,9037
Nevada,32,323249,5570
Tennessee,47,847348,12306
Hawaii,15,34754,493
Indiana,18,745032,13571
Kentucky,21,459068,6907
Minnesota,27,600002,7486
Oklahoma,40,452496,7291
Pennsylvania,42,1203130,27180
South Carolina,45,591862,9708
District of Columbia,11,48822,1131
Kansas,20,315642,5099
Missouri,29,613366,9652
Vermont,50,24162,255
Virginia,51,674082,11143
Connecticut,09,346980,8227
Iowa,19,371036,6044
Louisiana,22,469864,10562
Ohio,39,1099580,19753
Michigan,26,988008,20224
South Dakota,46,124071,2004
Arkansas,05,340698,5827
Delaware,10,108532,1660
Mississippi,28,317065,7302
New Mexico,35,202573,4256
North Dakota,38,109810,1539
Wyoming,56,59961,719
Alaska,02,69542,352
Maine,23,67294,825
Alabama,01,542831,11138
Idaho,16,191810,2090
Montana,30,111557,1607
West Virginia,54,160777,2788
