state,fips,cases,deaths
Washington,53,403589,5535
Illinois,17,1335559,24252
California,06,3739598,61649
Arizona,04,861653,17305
Massachusetts,25,687638,17594
Wisconsin,55,659812,7542
Texas,48,2890534,50336
Nebraska,31,219559,2365
Utah,49,397049,2197
Oregon,41,183830,2507
Florida,12,2228204,35083
New York,36,2042530,51677
Rhode Island,44,147897,2669
Georgia,13,1074398,19532
New Hampshire,33,94676,1301
North Carolina,37,968342,12658
New Jersey,34,995365,25529
Colorado,08,511914,6422
Maryland,24,446647,8718
Nevada,32,314928,5459
Tennessee,47,831905,12091
Hawaii,15,32580,480
Indiana,18,722258,13324
Kentucky,21,446773,6612
Minnesota,27,574031,7221
Oklahoma,40,447931,6788
Pennsylvania,42,1151784,26233
South Carolina,45,577550,9495
District of Columbia,11,47614,1105
Kansas,20,310650,5021
Missouri,29,600190,9237
Vermont,50,22824,246
Virginia,51,658341,10751
Connecticut,09,338447,8084
Iowa,19,364476,5931
Louisiana,22,457896,10376
Ohio,39,1070771,19188
Michigan,26,931977,18705
South Dakota,46,122532,1962
Arkansas,05,335529,5735
Delaware,10,104038,1624
Mississippi,28,311654,7195
New Mexico,35,197447,4060
North Dakota,38,107329,1522
Wyoming,56,58069,707
Alaska,02,67458,330
Maine,23,60945,782
Alabama,01,527513,10887
Idaho,16,187578,2048
Montana,30,108773,1570
West Virginia,54,152733,2674
