state,fips,cases,deaths
Washington,53,410494,5575
Illinois,17,1347662,24410
California,06,3749313,62015
Arizona,04,865280,17355
Massachusetts,25,692589,17644
Wisconsin,55,663105,7582
Texas,48,2904178,50567
Nebraska,31,220481,2372
Utah,49,398564,2217
Oregon,41,187611,2521
Florida,12,2249527,35398
New York,36,2057701,51949
Rhode Island,44,148929,2681
Georgia,13,1080385,19614
New Hampshire,33,95714,1307
North Carolina,37,976059,12723
New Jersey,34,1001996,25658
Colorado,08,518530,6456
Maryland,24,450201,8803
Nevada,32,316715,5480
Tennessee,47,835281,12120
Hawaii,15,33132,481
Indiana,18,727536,13363
Kentucky,21,449464,6651
Minnesota,27,581428,7267
Oklahoma,40,449014,6788
Pennsylvania,42,1166208,26383
South Carolina,45,581221,9524
District of Columbia,11,47986,1106
Kansas,20,311718,5029
Missouri,29,603560,9310
Vermont,50,23191,248
Virginia,51,662696,10823
Connecticut,09,340962,8117
Iowa,19,366126,5960
Louisiana,22,460337,10405
Ohio,39,1077284,19344
Michigan,26,948029,19041
South Dakota,46,122974,1973
Arkansas,05,336462,5752
Delaware,10,105204,1626
Mississippi,28,312608,7221
New Mexico,35,198576,4085
North Dakota,38,107943,1525
Wyoming,56,58367,710
Alaska,02,67964,331
Maine,23,62509,790
Alabama,01,528784,10913
Idaho,16,188305,2054
Montana,30,109431,1577
West Virginia,54,154551,2695
