state,fips,cases,deaths
Washington,53,392013,5466
Illinois,17,1313149,24018
California,06,3725198,61198
Arizona,04,855804,17199
Massachusetts,25,676758,17498
Wisconsin,55,653853,7430
Texas,48,2864489,49913
Nebraska,31,217596,2349
Utah,49,393926,2177
Oregon,41,177138,2483
Florida,12,2184346,34615
New York,36,2010967,51228
Rhode Island,44,145647,2658
Georgia,13,1063650,19214
New Hampshire,33,92395,1273
North Carolina,37,953452,12500
New Jersey,34,987350,25252
Colorado,08,497299,6352
Maryland,24,438975,8605
Nevada,32,311750,5388
Tennessee,47,823524,12016
Hawaii,15,31885,471
Indiana,18,713907,13248
Kentucky,21,442294,6469
Minnesota,27,560528,7122
Oklahoma,40,445963,6716
Pennsylvania,42,1124073,25886
South Carolina,45,571369,9365
District of Columbia,11,46941,1097
Kansas,20,309061,5002
Missouri,29,594860,9161
Vermont,50,22238,243
Virginia,51,649608,10640
Connecticut,09,332995,8027
Iowa,19,361420,5899
Louisiana,22,454377,10316
Ohio,39,1058395,19033
Michigan,26,894919,18119
South Dakota,46,121517,1954
Arkansas,05,334061,5708
Delaware,10,101993,1603
Mississippi,28,309818,7163
New Mexico,35,195783,4022
North Dakota,38,106249,1515
Wyoming,56,57518,705
Alaska,02,66142,318
Maine,23,58465,768
Alabama,01,524367,10807
Idaho,16,185858,2029
Montana,30,107651,1557
West Virginia,54,149888,2800
