state,fips,cases,deaths
Washington,53,400386,5510
Illinois,17,1329443,24174
California,06,3736470,61503
Arizona,04,860169,17276
Massachusetts,25,684630,17566
Wisconsin,55,658084,7494
Texas,48,2882498,50193
Nebraska,31,219090,2362
Utah,49,396068,2186
Oregon,41,182040,2502
Florida,12,2217360,34957
New York,36,2035668,51587
Rhode Island,44,147220,2664
Georgia,13,1071593,19407
New Hampshire,33,94203,1294
North Carolina,37,964612,12611
New Jersey,34,991010,25460
Colorado,08,508108,6402
Maryland,24,444678,8688
Nevada,32,314085,5444
Tennessee,47,829599,12066
Hawaii,15,32397,476
Indiana,18,719613,13293
Kentucky,21,445266,6595
Minnesota,27,570596,7169
Oklahoma,40,447393,6716
Pennsylvania,42,1144880,26120
South Carolina,45,575956,9435
District of Columbia,11,47471,1100
Kansas,20,310014,5010
Missouri,29,598538,9217
Vermont,50,22675,245
Virginia,51,656051,10724
Connecticut,09,337340,8067
Iowa,19,363530,5930
Louisiana,22,456884,10352
Ohio,39,1067262,19188
Michigan,26,922873,18552
South Dakota,46,122228,1961
Arkansas,05,334998,5725
Delaware,10,103603,1617
Mississippi,28,311159,7188
New Mexico,35,196999,4041
North Dakota,38,107029,1517
Wyoming,56,57883,707
Alaska,02,67104,330
Maine,23,60430,777
Alabama,01,526707,10854
Idaho,16,187102,2043
Montana,30,108402,1566
West Virginia,54,151848,2662
