state,fips,cases,deaths
Washington,53,426058,5700
Illinois,17,1372597,24830
California,06,3771153,62722
Arizona,04,874065,17480
Massachusetts,25,702776,17779
Wisconsin,55,670575,7726
Texas,48,2934993,51180
Nebraska,31,222612,2364
Utah,49,403058,2271
Oregon,41,196405,2618
Florida,12,2296777,36226
New York,36,2086577,52480
Rhode Island,44,150737,2703
Georgia,13,1092264,19886
New Hampshire,33,97904,1339
North Carolina,37,993211,12934
New Jersey,34,1011752,25998
Colorado,08,536087,6600
Maryland,24,456619,8945
Nevada,32,321368,5540
Tennessee,47,844110,12240
Hawaii,15,34300,489
Indiana,18,739811,13507
Kentucky,21,455997,6839
Minnesota,27,595625,7403
Oklahoma,40,451349,6878
Pennsylvania,42,1193608,26927
South Carolina,45,589098,9656
District of Columbia,11,48616,1122
Kansas,20,314146,5079
Missouri,29,609731,9504
Vermont,50,23945,254
Virginia,51,670854,11042
Connecticut,09,345720,8198
Iowa,19,369690,6013
Louisiana,22,466440,10500
Ohio,39,1092616,19628
Michigan,26,979534,19886
South Dakota,46,123784,1994
Arkansas,05,339162,5805
Delaware,10,107175,1651
Mississippi,28,315634,7268
New Mexico,35,201336,4120
North Dakota,38,109265,1534
Wyoming,56,59320,713
Alaska,02,69088,351
Maine,23,66113,805
Alabama,01,540603,11043
Idaho,16,190547,2075
Montana,30,110965,1602
West Virginia,54,158888,2763
