state,fips,cases,deaths
Washington,53,411842,5586
Illinois,17,1350094,24443
California,06,3750986,62064
Arizona,04,866022,17360
Massachusetts,25,693608,17658
Wisconsin,55,663880,7596
Texas,48,2906458,50626
Nebraska,31,220720,2372
Utah,49,399044,2219
Oregon,41,188460,2526
Florida,12,2253921,35477
New York,36,2060075,52005
Rhode Island,44,149197,2682
Georgia,13,1081398,19640
New Hampshire,33,95881,1308
North Carolina,37,977466,12744
New Jersey,34,1004525,25692
Colorado,08,519693,6467
Maryland,24,450880,8813
Nevada,32,317088,5487
Tennessee,47,836094,12131
Hawaii,15,33186,482
Indiana,18,728677,13373
Kentucky,21,450190,6658
Minnesota,27,582669,7284
Oklahoma,40,449266,6832
Pennsylvania,42,1168595,26446
South Carolina,45,581835,9536
District of Columbia,11,48041,1109
Kansas,20,312200,5041
Missouri,29,604140,9319
Vermont,50,23247,248
Virginia,51,663538,10844
Connecticut,09,341571,8124
Iowa,19,366566,5962
Louisiana,22,460803,10418
Ohio,39,1078734,19344
Michigan,26,951175,19087
South Dakota,46,123073,1976
Arkansas,05,336760,5754
Delaware,10,105401,1628
Mississippi,28,312712,7223
New Mexico,35,198781,4087
North Dakota,38,108112,1528
Wyoming,56,58438,710
Alaska,02,68112,331
Maine,23,62857,791
Alabama,01,529446,10930
Idaho,16,188518,2054
Montana,30,109572,1578
West Virginia,54,154956,2707
