state,fips,cases,deaths
Washington,53,431446,5754
Illinois,17,1380389,25011
California,06,3778572,62946
Arizona,04,877182,17555
Massachusetts,25,705370,17825
Wisconsin,55,672801,7749
Texas,48,2944881,51409
Nebraska,31,223054,2378
Utah,49,404695,2292
Oregon,41,199046,2651
Florida,12,2311933,36500
New York,36,2094493,52621
Rhode Island,44,151440,2705
Georgia,13,1095706,20010
New Hampshire,33,98349,1344
North Carolina,37,998658,13010
New Jersey,34,1014190,26088
Colorado,08,540892,6652
Maryland,24,458711,9022
Nevada,32,322757,5559
Tennessee,47,846478,12293
Hawaii,15,34688,493
Indiana,18,743899,13554
Kentucky,21,458226,6879
Minnesota,27,599327,7463
Oklahoma,40,452288,6918
Pennsylvania,42,1201370,27089
South Carolina,45,591365,9690
District of Columbia,11,48762,1130
Kansas,20,315298,5094
Missouri,29,612340,9578
Vermont,50,24127,255
Virginia,51,673105,11116
Connecticut,09,346711,8219
Iowa,19,370721,6035
Louisiana,22,468402,10535
Ohio,39,1097867,19709
Michigan,26,985912,20141
South Dakota,46,123942,2004
Arkansas,05,340186,5820
Delaware,10,108409,1659
Mississippi,28,316754,7285
New Mexico,35,202221,4247
North Dakota,38,109663,1537
Wyoming,56,59797,713
Alaska,02,69424,352
Maine,23,67071,822
Alabama,01,542256,11112
Idaho,16,191469,2089
Montana,30,111329,1603
West Virginia,54,160354,2775
