state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,7942520.0,3772502.0,2760079.0,54773.0
Illinois,17,12855545.0,6184414.0,4287939.0,72071.0
California,06,42020680.0,20284982.0,13796992.0,274950.0
Arizona,04,7081205.0,3077983.0,2297078.0,29993.0
Massachusetts,25,8068900.0,4141658.0,2919358.0,70523.0
Wisconsin,55,5555605.0,2746530.0,2283255.0,31354.0
Texas,48,27376675.0,11508786.0,8742609.0,144310.0
Nebraska,31,1851220.0,868691.0,716867.0,13880.0
Utah,49,2733780.0,1311972.0,842026.0,13669.0
Oregon,41,4219185.0,2030348.0,1484308.0,36801.0
Florida,12,22007995.0,9460421.0,7018269.0,134198.0
New York,36,20122975.0,9748719.0,7666821.0,150503.0
Rhode Island,44,1289815.0,582139.0,436478.0,7629.0
Georgia,13,9921025.0,3869064.0,2929987.0,48459.0
New Hampshire,33,1422785.0,780481.0,450422.0,-380.0
North Carolina,37,10441180.0,4248350.0,3409247.0,47119.0
New Jersey,34,9490755.0,4813916.0,3643468.0,72008.0
Colorado,08,5861710.0,2804920.0,2172481.0,47403.0
Maryland,24,6647830.0,3094920.0,2332002.0,47777.0
Nevada,32,2636770.0,1271782.0,968902.0,16043.0
Tennessee,47,5671770.0,2444465.0,1898730.0,35943.0
Hawaii,15,1565860.0,832725.0,577610.0,19110.0
Indiana,18,5727410.0,2553033.0,2032376.0,36868.0
Kentucky,21,4092275.0,1893307.0,1535295.0,17543.0
Minnesota,27,5348340.0,2788250.0,2164502.0,35202.0
Oklahoma,40,3834415.0,1560916.0,1242191.0,10116.0
Pennsylvania,42,13571705.0,6727935.0,4629086.0,93667.0
South Carolina,45,4728205.0,1947391.0,1545538.0,20030.0
District of Columbia,11,918975.0,360914.0,241630.0,5719.0
Kansas,20,2826985.0,1275039.0,1017851.0,13236.0
Missouri,29,5508655.0,2388865.0,1863242.0,25935.0
Vermont,50,757120.0,382267.0,266995.0,7351.0
Virginia,51,8689335.0,4234063.0,3173754.0,58077.0
Connecticut,09,4077035.0,2043434.0,1581885.0,30272.0
Iowa,19,2973685.0,1440023.0,1204970.0,18679.0
Louisiana,22,3754030.0,1553840.0,1333541.0,21658.0
Ohio,39,11024855.0,4890014.0,4163587.0,57118.0
Michigan,26,10065270.0,4438313.0,3588702.0,58089.0
South Dakota,46,910375.0,403387.0,351251.0,2962.0
Arkansas,05,2677170.0,1107515.0,840192.0,10835.0
Delaware,10,1057915.0,478333.0,358385.0,6312.0
Mississippi,28,2496365.0,951726.0,747819.0,9127.0
New Mexico,35,2112295.0,1110016.0,871789.0,13155.0
North Dakota,38,654800.0,305561.0,261859.0,2074.0
Wyoming,56,490875.0,201135.0,170086.0,1638.0
Alaska,02,777945.0,312535.0,268405.0,1275.0
Maine,23,1520230.0,768255.0,597383.0,10865.0
Alabama,01,4277330.0,1654267.0,1270858.0,20784.0
Idaho,16,1490225.0,626090.0,519112.0,4779.0
Montana,30,1024695.0,449535.0,370722.0,3808.0
West Virginia,54,1682345.0,657366.0,573097.0,4329.0
