state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,7942520.0,3742690.0,2713953.0,55180.0
Illinois,17,12855545.0,6144296.0,4214851.0,69359.0
California,06,42020680.0,20172726.0,13547291.0,277007.0
Arizona,04,7081205.0,3065521.0,2273527.0,30521.0
Massachusetts,25,8068900.0,4115668.0,2869733.0,72713.0
Wisconsin,55,5555605.0,2735459.0,2249889.0,31033.0
Texas,48,27376775.0,11467096.0,8629882.0,138610.0
Nebraska,31,1851220.0,857294.0,704020.0,14145.0
Utah,49,2733780.0,1311807.0,841749.0,13677.0
Oregon,41,4219185.0,2004331.0,1445588.0,40517.0
Florida,12,22007995.0,9402537.0,6893295.0,109127.0
New York,36,20122975.0,9694879.0,7547538.0,144003.0
Rhode Island,44,1289815.0,577826.0,429851.0,7455.0
Georgia,13,9921025.0,3849874.0,2890358.0,50559.0
New Hampshire,33,1422785.0,778356.0,449102.0,-386.0
North Carolina,37,10441180.0,4233679.0,3367458.0,51070.0
New Jersey,34,9490755.0,4784711.0,3592009.0,68193.0
Colorado,08,5861710.0,2788171.0,2126931.0,44615.0
Maryland,24,6647730.0,3077715.0,2296918.0,44486.0
Nevada,32,2636770.0,1264701.0,952097.0,15871.0
Tennessee,47,5670600.0,2429663.0,1873334.0,35911.0
Hawaii,15,1565860.0,828377.0,572466.0,19562.0
Indiana,18,5727410.0,2538086.0,2005243.0,37405.0
Kentucky,21,4092275.0,1884947.0,1517958.0,16667.0
Minnesota,27,5348340.0,2772770.0,2131417.0,36285.0
Oklahoma,40,3834415.0,1556613.0,1233802.0,10696.0
Pennsylvania,42,13571705.0,6698507.0,4579338.0,91294.0
South Carolina,45,4728205.0,1939674.0,1527211.0,20035.0
District of Columbia,11,918975.0,357991.0,236805.0,5560.0
Kansas,20,2826985.0,1270365.0,1004898.0,13314.0
Missouri,29,5508655.0,2380762.0,1842498.0,27947.0
Vermont,50,757120.0,374046.0,259250.0,6553.0
Virginia,51,8689335.0,4214094.0,3144444.0,62089.0
Connecticut,09,4077035.0,2034240.0,1553340.0,30099.0
Iowa,19,2973685.0,1433535.0,1187977.0,18911.0
Louisiana,22,3754030.0,1541563.0,1315113.0,17282.0
Ohio,39,11024855.0,4868257.0,4108160.0,56014.0
Michigan,26,10065270.0,4414798.0,3532443.0,56554.0
South Dakota,46,910375.0,403193.0,350806.0,2942.0
Arkansas,05,2677170.0,1102155.0,831032.0,11696.0
Delaware,10,1057915.0,475946.0,353410.0,6630.0
Mississippi,28,2496365.0,951358.0,747305.0,9131.0
New Mexico,35,2112295.0,1105318.0,863845.0,14012.0
North Dakota,38,654800.0,304640.0,260528.0,2018.0
Wyoming,56,490875.0,201002.0,169905.0,1650.0
Alaska,02,777945.0,312475.0,268319.0,1523.0
Maine,23,1520230.0,768149.0,597051.0,10865.0
Alabama,01,4277330.0,1649688.0,1263965.0,20088.0
Idaho,16,1490225.0,625950.0,518882.0,6436.0
Montana,30,1024695.0,447810.0,366652.0,3874.0
West Virginia,54,1682345.0,654540.0,572054.0,4271.0
