state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8615640.0,4176352.0,3357538.0,65011.0
Illinois,17,13785635.0,6757138.0,4912590.0,75987.0
California,06,46220830.0,21898286.0,16407037.0,268071.0
Arizona,04,7678675.0,3297376.0,2554973.0,30154.0
Massachusetts,25,8968160.0,4470589.0,3483346.0,54723.0
Wisconsin,55,5838765.0,2913169.0,2530053.0,26092.0
Texas,48,29660595.0,12450803.0,9917199.0,132170.0
Nebraska,31,1971150.0,914411.0,795941.0,6790.0
Utah,49,3044940.0,1414336.0,1002182.0,18697.0
Oregon,41,4927655.0,2243761.0,1794974.0,32641.0
Florida,12,23218725.0,10271300.0,8077640.0,112229.0
New York,36,22118775.0,10531954.0,8783612.0,132687.0
Rhode Island,44,1441235.0,629924.0,528534.0,7794.0
Georgia,13,10533755.0,4107924.0,3257973.0,31512.0
New Hampshire,33,1644425.0,875824.0,561004.0,18789.0
North Carolina,37,11092210.0,4471735.0,3706482.0,33217.0
New Jersey,34,10712655.0,5198699.0,4177064.0,58297.0
Colorado,08,6621280.0,3036915.0,2513029.0,35621.0
Maryland,24,7603410.0,3353570.0,2739690.0,39568.0
Nevada,32,2812740.0,1366973.0,1097809.0,13654.0
Tennessee,47,5960840.0,2625275.0,2117457.0,21694.0
Hawaii,15,1767560.0,920093.0,661016.0,10751.0
Indiana,18,6232460.0,2748264.0,2310307.0,29323.0
Kentucky,21,4254525.0,2024098.0,1676350.0,17418.0
Minnesota,27,6075430.0,3003028.0,2512484.0,37120.0
Oklahoma,40,3894555.0,1621871.0,1313005.0,8517.0
Pennsylvania,42,14630805.0,7278884.0,5353652.0,80693.0
South Carolina,45,4975315.0,2064440.0,1693694.0,15968.0
District of Columbia,11,1008855.0,394259.0,312763.0,5881.0
Kansas,20,2932335.0,1337778.0,1092132.0,8712.0
Missouri,29,5813565.0,2545329.0,2065529.0,20002.0
Vermont,50,855540.0,434557.0,329084.0,9022.0
Virginia,51,9517055.0,4583973.0,3692244.0,57273.0
Connecticut,09,4418395.0,2203374.0,1840832.0,26166.0
Iowa,19,3215445.0,1524976.0,1345985.0,14424.0
Louisiana,22,3853090.0,1631613.0,1419939.0,13898.0
Ohio,39,11732115.0,5235387.0,4582388.0,47772.0
Michigan,26,10950450.0,4768024.0,4081032.0,51631.0
South Dakota,46,931135.0,419643.0,370343.0,2183.0
Arkansas,05,2741670.0,1168568.0,914312.0,8487.0
Delaware,10,1181435.0,515089.0,402644.0,5226.0
Mississippi,28,2571575.0,988125.0,788267.0,5830.0
New Mexico,35,2224285.0,1183096.0,972891.0,10578.0
North Dakota,38,676250.0,316590.0,274239.0,1707.0
Wyoming,56,501825.0,210231.0,180262.0,1327.0
Alaska,02,802575.0,331243.0,283050.0,2080.0
Maine,23,1732380.0,825542.0,698282.0,10643.0
Alabama,01,4476640.0,1747012.0,1407917.0,13704.0
Idaho,16,1578235.0,660243.0,572423.0,4707.0
Montana,30,1068745.0,475433.0,400822.0,3812.0
West Virginia,54,1799335.0,710470.0,600514.0,5230.0
