state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8463800.0,4040328.0,3183971.0,60773.0
Illinois,17,13459095.0,6551298.0,4750034.0,73399.0
California,06,45628190.0,21390051.0,15717779.0,281184.0
Arizona,04,7577625.0,3225461.0,2482237.0,27137.0
Massachusetts,25,8790510.0,4373726.0,3333097.0,54997.0
Wisconsin,55,5779785.0,2845194.0,2464457.0,25880.0
Texas,48,29159175.0,12162473.0,9654297.0,149682.0
Nebraska,31,1956820.0,898850.0,780411.0,7266.0
Utah,49,3009440.0,1394033.0,979914.0,15186.0
Oregon,41,4865045.0,2176585.0,1701973.0,29893.0
Florida,12,22757805.0,10013464.0,7842314.0,115226.0
New York,36,21776965.0,10270385.0,8522398.0,126864.0
Rhode Island,44,1428115.0,613623.0,513205.0,10895.0
Georgia,13,10397145.0,4048946.0,3183565.0,35958.0
New Hampshire,33,1591435.0,843902.0,517299.0,10638.0
North Carolina,37,10964980.0,4398309.0,3634090.0,35855.0
New Jersey,34,10508565.0,5085381.0,4051601.0,59939.0
Colorado,08,6521380.0,2958660.0,2435657.0,38614.0
Maryland,24,7449310.0,3304263.0,2674631.0,50071.0
Nevada,32,2761920.0,1332956.0,1062502.0,15611.0
Tennessee,47,5862650.0,2574804.0,2072318.0,30639.0
Hawaii,15,1740200.0,898799.0,640679.0,14078.0
Indiana,18,6103040.0,2688808.0,2240373.0,31794.0
Kentucky,21,4209055.0,1975471.0,1642449.0,15774.0
Minnesota,27,5976270.0,2925164.0,2417991.0,36349.0
Oklahoma,40,3873355.0,1602200.0,1295357.0,9208.0
Pennsylvania,42,14487355.0,7129435.0,5183394.0,83322.0
South Carolina,45,4921975.0,2024312.0,1657313.0,15914.0
District of Columbia,11,986455.0,386455.0,297401.0,7650.0
Kansas,20,2904355.0,1314313.0,1073596.0,8007.0
Missouri,29,5742095.0,2491465.0,2025458.0,21920.0
Vermont,50,851610.0,412806.0,305465.0,6136.0
Virginia,51,9330995.0,4470191.0,3562369.0,54647.0
Connecticut,09,4375455.0,2150515.0,1775334.0,27458.0
Iowa,19,3188315.0,1492262.0,1310692.0,14978.0
Louisiana,22,3815750.0,1604264.0,1394985.0,10297.0
Ohio,39,11560515.0,5112870.0,4482000.0,46887.0
Michigan,26,10781640.0,4658616.0,3954752.0,52942.0
South Dakota,46,927195.0,414633.0,366351.0,2474.0
Arkansas,05,2729400.0,1148175.0,894806.0,8921.0
Delaware,10,1167875.0,499588.0,389174.0,4279.0
Mississippi,28,2550405.0,983206.0,784434.0,6682.0
New Mexico,35,2211905.0,1156807.0,948428.0,10694.0
North Dakota,38,672440.0,312423.0,270414.0,1648.0
Wyoming,56,499235.0,207907.0,178309.0,1372.0
Alaska,02,799005.0,325229.0,279464.0,2027.0
Maine,23,1705160.0,810049.0,680621.0,9840.0
Alabama,01,4415280.0,1725694.0,1382327.0,15330.0
Idaho,16,1561155.0,649367.0,560127.0,4796.0
Montana,30,1062675.0,466449.0,392683.0,3732.0
West Virginia,54,1767735.0,694435.0,594018.0,4869.0
