state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8316630.0,3949859.0,3051554.0,63750.0
Illinois,17,13306375.0,6423171.0,4627003.0,79710.0
California,06,44241580.0,20995335.0,15153888.0,286457.0
Arizona,04,7465065.0,3177747.0,2439604.0,32248.0
Massachusetts,25,8523650.0,4293266.0,3215767.0,62241.0
Wisconsin,55,5693955.0,2807736.0,2423855.0,28109.0
Texas,48,28654065.0,11881680.0,9377315.0,137786.0
Nebraska,31,1912970.0,880010.0,756234.0,6918.0
Utah,49,2933850.0,1352447.0,928884.0,17127.0
Oregon,41,4539165.0,2129818.0,1643042.0,34410.0
Florida,12,22546275.0,9811034.0,7610484.0,128252.0
New York,36,21214365.0,10067820.0,8272430.0,127708.0
Rhode Island,44,1357925.0,601520.0,491332.0,10734.0
Georgia,13,10223535.0,3973172.0,3096482.0,36524.0
New Hampshire,33,1524445.0,813340.0,482876.0,8991.0
North Carolina,37,10876760.0,4330478.0,3573098.0,34067.0
New Jersey,34,10138285.0,4985485.0,3922123.0,60650.0
Colorado,08,6403480.0,2903235.0,2369139.0,40681.0
Maryland,24,7154150.0,3220987.0,2558169.0,48760.0
Nevada,32,2727720.0,1311047.0,1040958.0,17707.0
Tennessee,47,5806670.0,2536834.0,2031846.0,32214.0
Hawaii,15,1657410.0,862508.0,610661.0,8628.0
Indiana,18,5987240.0,2641183.0,2184367.0,33644.0
Kentucky,21,4173955.0,1945062.0,1616632.0,17422.0
Minnesota,27,5776950.0,2876356.0,2346132.0,37404.0
Oklahoma,40,3860065.0,1586955.0,1281073.0,9125.0
Pennsylvania,42,14115885.0,6984945.0,5001289.0,86433.0
South Carolina,45,4855205.0,1995829.0,1628925.0,18049.0
District of Columbia,11,960675.0,379065.0,279928.0,8356.0
Kansas,20,2888985.0,1300849.0,1061051.0,9248.0
Missouri,29,5674925.0,2452806.0,1982295.0,25452.0
Vermont,50,808250.0,403357.0,292678.0,6322.0
Virginia,51,9189605.0,4374194.0,3438997.0,55491.0
Connecticut,09,4238825.0,2104203.0,1719771.0,27564.0
Iowa,19,3099895.0,1468612.0,1280972.0,14550.0
Louisiana,22,3797620.0,1580654.0,1371673.0,9109.0
Ohio,39,11344535.0,5027138.0,4406178.0,51660.0
Michigan,26,10576610.0,4575076.0,3858133.0,55004.0
South Dakota,46,922975.0,410082.0,363115.0,2483.0
Arkansas,05,2720090.0,1134540.0,883404.0,9549.0
Delaware,10,1122975.0,493361.0,381626.0,5417.0
Mississippi,28,2529915.0,966159.0,767645.0,4628.0
New Mexico,35,2169015.0,1138906.0,927399.0,11526.0
North Dakota,38,664790.0,309724.0,268355.0,1596.0
Wyoming,56,495435.0,204569.0,175688.0,1261.0
Alaska,02,792755.0,320705.0,276902.0,2194.0
Maine,23,1628280.0,790376.0,654231.0,10420.0
Alabama,01,4373130.0,1699751.0,1350643.0,16843.0
Idaho,16,1539755.0,642709.0,551587.0,6714.0
Montana,30,1049245.0,459976.0,388059.0,3690.0
West Virginia,54,1731955.0,681688.0,588277.0,5161.0
