state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8792040.0,4234619.0,3425147.0,59579.0
Illinois,17,13891395.0,6844212.0,4978526.0,72370.0
California,06,46754710.0,22109031.0,16664687.0,230733.0
Arizona,04,7726825.0,3325305.0,2579485.0,27473.0
Massachusetts,25,9114660.0,4508487.0,3566470.0,51561.0
Wisconsin,55,5876165.0,2937948.0,2553224.0,24610.0
Texas,48,29971935.0,12625469.0,10088586.0,124874.0
Nebraska,31,1974960.0,925465.0,806604.0,7278.0
Utah,49,3067560.0,1439758.0,1026238.0,12598.0
Oregon,41,5168665.0,2273769.0,1841255.0,32534.0
Florida,12,23318515.0,10390827.0,8205341.0,99723.0
New York,36,22395305.0,10667650.0,8928854.0,120322.0
Rhode Island,44,1453025.0,636602.0,536009.0,6404.0
Georgia,13,10618245.0,4142634.0,3295633.0,28251.0
New Hampshire,33,1708275.0,808398.0,652539.0,14279.0
North Carolina,37,11151510.0,4506606.0,3739440.0,29044.0
New Jersey,34,10791275.0,5269286.0,4256025.0,52641.0
Colorado,08,6664860.0,3075711.0,2559111.0,33461.0
Maryland,24,7753840.0,3424693.0,2835588.0,38860.0
Nevada,32,2836050.0,1381074.0,1112760.0,13039.0
Tennessee,47,5996960.0,2647639.0,2139212.0,19945.0
Hawaii,15,1810580.0,928545.0,667016.0,7726.0
Indiana,18,6323400.0,2776436.0,2342184.0,26353.0
Kentucky,21,4276365.0,2048735.0,1694560.0,16945.0
Minnesota,27,6195750.0,3030092.0,2548636.0,32719.0
Oklahoma,40,3900695.0,1631362.0,1321137.0,7483.0
Pennsylvania,42,14871305.0,7368901.0,5462969.0,71109.0
South Carolina,45,5035455.0,2081495.0,1710606.0,14911.0
District of Columbia,11,1019215.0,397218.0,318874.0,4950.0
Kansas,20,2940885.0,1349850.0,1104499.0,9031.0
Missouri,29,5839015.0,2564193.0,2083257.0,17787.0
Vermont,50,880340.0,433173.0,333208.0,7698.0
Virginia,51,9650765.0,4643066.0,3759142.0,51347.0
Connecticut,09,4509665.0,2227382.0,1868188.0,23324.0
Iowa,19,3242665.0,1537535.0,1360138.0,12988.0
Louisiana,22,3873960.0,1644916.0,1432609.0,10810.0
Ohio,39,11846795.0,5294933.0,4631720.0,45598.0
Michigan,26,11133270.0,4813250.0,4134551.0,46269.0
South Dakota,46,934195.0,423235.0,372526.0,1943.0
Arkansas,05,2747930.0,1179098.0,925698.0,8519.0
Delaware,10,1205065.0,521179.0,409468.0,5800.0
Mississippi,28,2575215.0,1003507.0,801053.0,5031.0
New Mexico,35,2261775.0,1193507.0,985346.0,10019.0
North Dakota,38,684070.0,318312.0,275726.0,1522.0
Wyoming,56,502365.0,211859.0,181712.0,940.0
Alaska,02,805955.0,333592.0,284731.0,1771.0
Maine,23,1751500.0,841213.0,720554.0,9915.0
Alabama,01,4520480.0,1758850.0,1423605.0,9747.0
Idaho,16,1590575.0,665155.0,577568.0,4325.0
Montana,30,1077725.0,478848.0,404573.0,3232.0
West Virginia,54,1810285.0,719528.0,605051.0,4791.0
