state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,7647410.0,3656965.0,2597762.0,61576.0
Illinois,17,12470715.0,6031482.0,4025554.0,74547.0
California,06,40691390.0,19786567.0,12808631.0,290114.0
Arizona,04,6926125.0,3019286.0,2196443.0,33654.0
Massachusetts,25,7814540.0,4000616.0,2691166.0,70761.0
Wisconsin,55,5462795.0,2701279.0,2151497.0,36090.0
Texas,48,26975255.0,11306814.0,8247643.0,160608.0
Nebraska,31,1817950.0,847351.0,671170.0,10154.0
Utah,49,2650780.0,1298408.0,815952.0,18897.0
Oregon,41,4136195.0,1947073.0,1373067.0,34623.0
Florida,12,21493305.0,9184860.0,6553069.0,124384.0
New York,36,19545765.0,9520974.0,7190369.0,170210.0
Rhode Island,44,1184075.0,569788.0,411681.0,8323.0
Georgia,13,9789055.0,3785099.0,2761702.0,59384.0
New Hampshire,33,1364485.0,831667.0,411500.0,3534.0
North Carolina,37,10109510.0,4184155.0,3242640.0,62485.0
New Jersey,34,9119785.0,4692648.0,3409035.0,66766.0
Colorado,08,5658550.0,2739293.0,2003556.0,46552.0
Maryland,24,6320050.0,3016656.0,2185408.0,47513.0
Nevada,32,2585160.0,1243235.0,906669.0,16788.0
Tennessee,47,5574800.0,2385694.0,1763967.0,32179.0
Hawaii,15,1524400.0,766182.0,523984.0,9875.0
Indiana,18,5642020.0,2485048.0,1908526.0,38595.0
Kentucky,21,4031725.0,1860514.0,1468543.0,18396.0
Minnesota,27,5257750.0,2720057.0,2037853.0,41007.0
Oklahoma,40,3788445.0,1542386.0,1209200.0,12426.0
Pennsylvania,42,13140145.0,6550777.0,4363781.0,104409.0
South Carolina,45,4645405.0,1911054.0,1469399.0,20895.0
District of Columbia,11,895425.0,349238.0,224437.0,5376.0
Kansas,20,2775555.0,1255546.0,959289.0,12852.0
Missouri,29,5388885.0,2351601.0,1772468.0,30275.0
Vermont,50,717650.0,364642.0,250698.0,7269.0
Virginia,51,8472005.0,4129315.0,2989861.0,69901.0
Connecticut,09,3998075.0,2002749.0,1467107.0,30584.0
Iowa,19,2878415.0,1415061.0,1137408.0,21991.0
Louisiana,22,3704660.0,1508346.0,1252525.0,6764.0
Ohio,39,10793175.0,4800092.0,3943605.0,62626.0
Michigan,26,9903340.0,4339865.0,3359000.0,60828.0
South Dakota,46,904995.0,399483.0,338709.0,4449.0
Arkansas,05,2655350.0,1088927.0,803294.0,13162.0
Delaware,10,1022065.0,466826.0,338706.0,7694.0
Mississippi,28,2473465.0,939012.0,728948.0,8625.0
New Mexico,35,2088935.0,1089796.0,823264.0,14418.0
North Dakota,38,649500.0,301577.0,254181.0,2165.0
Wyoming,56,485195.0,198821.0,165330.0,2038.0
Alaska,02,774305.0,309518.0,264565.0,3064.0
Maine,23,1450130.0,754763.0,564407.0,11940.0
Alabama,01,4187860.0,1618791.0,1199064.0,20444.0
Idaho,16,1455395.0,617604.0,503359.0,7094.0
Montana,30,1006885.0,442048.0,355672.0,5197.0
West Virginia,54,1665175.0,645399.0,556086.0,5806.0
