state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8753980.0,4191876.0,3370529.0,63347.0
Illinois,17,13825235.0,6780520.0,4926691.0,76531.0
California,06,46474940.0,21951901.0,16463950.0,258249.0
Arizona,04,7692985.0,3304861.0,2559836.0,29402.0
Massachusetts,25,9032980.0,4479593.0,3499591.0,54424.0
Wisconsin,55,5855685.0,2918234.0,2533467.0,26187.0
Texas,48,29755785.0,12508198.0,9966234.0,132753.0
Nebraska,31,1972320.0,918997.0,799467.0,7234.0
Utah,49,3050380.0,1430677.0,1016859.0,14815.0
Oregon,41,5115145.0,2251409.0,1809594.0,32236.0
Florida,12,23265835.0,10300783.0,8108043.0,109670.0
New York,36,22210785.0,10567466.0,8824107.0,132666.0
Rhode Island,44,1443385.0,630987.0,529682.0,6713.0
Georgia,13,10555975.0,4108169.0,3258138.0,31481.0
New Hampshire,33,1665685.0,877210.0,561808.0,18634.0
North Carolina,37,11105580.0,4479380.0,3711655.0,32814.0
New Jersey,34,10731555.0,5217197.0,4198864.0,58486.0
Colorado,08,6636600.0,3049389.0,2526489.0,36113.0
Maryland,24,7665760.0,3363680.0,2752911.0,38704.0
Nevada,32,2822990.0,1370128.0,1100149.0,13401.0
Tennessee,47,5975980.0,2629888.0,2120958.0,21555.0
Hawaii,15,1799740.0,924981.0,664651.0,11133.0
Indiana,18,6286760.0,2751280.0,2312972.0,28352.0
Kentucky,21,4259535.0,2028163.0,1678845.0,17106.0
Minnesota,27,6158810.0,3008018.0,2518108.0,36392.0
Oklahoma,40,3894955.0,1623248.0,1313936.0,8345.0
Pennsylvania,42,14707405.0,7296700.0,5378692.0,77557.0
South Carolina,45,4991955.0,2067988.0,1695996.0,15290.0
District of Columbia,11,1011995.0,395158.0,314050.0,5464.0
Kansas,20,2934405.0,1340897.0,1094472.0,8949.0
Missouri,29,5816575.0,2549600.0,2068170.0,19707.0
Vermont,50,870880.0,436250.0,331529.0,8781.0
Virginia,51,9593785.0,4600241.0,3709569.0,57834.0
Connecticut,09,4471025.0,2209618.0,1846899.0,25323.0
Iowa,19,3226145.0,1528188.0,1348285.0,14029.0
Louisiana,22,3860970.0,1633736.0,1421591.0,10991.0
Ohio,39,11769375.0,5244540.0,4590074.0,46485.0
Michigan,26,10984640.0,4776232.0,4088004.0,50225.0
South Dakota,46,932505.0,420916.0,370948.0,2132.0
Arkansas,05,2743770.0,1170081.0,915272.0,8383.0
Delaware,10,1193375.0,517131.0,404308.0,5424.0
Mississippi,28,2572375.0,1000465.0,798278.0,6129.0
New Mexico,35,2251815.0,1184139.0,973947.0,10342.0
North Dakota,38,683770.0,316727.0,274335.0,1728.0
Wyoming,56,501825.0,211628.0,181453.0,1379.0
Alaska,02,805355.0,331563.0,283291.0,2072.0
Maine,23,1740600.0,835549.0,710625.0,10530.0
Alabama,01,4484660.0,1754294.0,1415771.0,12970.0
Idaho,16,1586615.0,661259.0,573143.0,4739.0
Montana,30,1069445.0,475866.0,401149.0,3469.0
West Virginia,54,1801205.0,713132.0,601629.0,5308.0
