state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,6667750.0,3395402.0,2329920.0,74836.0
Illinois,17,11286585.0,5716080.0,3665234.0,112395.0
California,06,36101260.0,18667924.0,11373056.0,387965.0
Arizona,04,6285415.0,2900707.0,2009937.0,51720.0
Massachusetts,25,6771230.0,3696940.0,2346322.0,87604.0
Wisconsin,55,5004705.0,2610847.0,1948128.0,51736.0
Texas,48,23721275.0,10796687.0,7332085.0,192661.0
Nebraska,31,1690180.0,823642.0,603756.0,14357.0
Utah,49,2367860.0,1218503.0,705703.0,16779.0
Oregon,41,3557915.0,1797595.0,1214652.0,40041.0
Florida,12,19584145.0,8706265.0,5906447.0,172678.0
New York,36,17625975.0,8938559.0,6255867.0,168545.0
Rhode Island,44,1065185.0,536864.0,367273.0,12050.0
Georgia,13,8793835.0,3623541.0,2388290.0,66930.0
New Hampshire,33,1227615.0,809520.0,400809.0,3924.0
North Carolina,37,9241800.0,4034370.0,2888684.0,66776.0
New Jersey,34,7963795.0,4435930.0,3008260.0,90531.0
Colorado,08,4968480.0,2604683.0,1745232.0,56378.0
Maryland,24,5544960.0,2817213.0,1928628.0,63417.0
Nevada,32,2396080.0,1193085.0,817847.0,18422.0
Tennessee,47,5396000.0,2296223.0,1586811.0,41905.0
Hawaii,15,1370040.0,712493.0,478866.0,32029.0
Indiana,18,5220380.0,2365148.0,1701402.0,38845.0
Kentucky,21,3747885.0,1803727.0,1365608.0,26844.0
Minnesota,27,4634790.0,2571363.0,1837471.0,57431.0
Oklahoma,40,3699765.0,1506745.0,1134715.0,18156.0
Pennsylvania,42,11822805.0,6103395.0,3868459.0,145974.0
South Carolina,45,4313565.0,1837768.0,1322487.0,23346.0
District of Columbia,11,780595.0,324137.0,196859.0,7854.0
Kansas,20,2576035.0,1221259.0,877245.0,19241.0
Missouri,29,5095385.0,2265084.0,1601567.0,46130.0
Vermont,50,633640.0,328621.0,222382.0,7817.0
Virginia,51,7521285.0,3895692.0,2626636.0,86267.0
Connecticut,09,3716115.0,1897401.0,1298869.0,40782.0
Iowa,19,2664745.0,1364722.0,1009439.0,24212.0
Louisiana,22,3612910.0,1483708.0,1204822.0,21929.0
Ohio,39,10062385.0,4630975.0,3567394.0,93565.0
Michigan,26,8738230.0,4142490.0,3000458.0,90071.0
South Dakota,46,859215.0,391407.0,309054.0,5880.0
Arkansas,05,2586420.0,1053861.0,730955.0,16576.0
Delaware,10,903465.0,441610.0,294332.0,9510.0
Mississippi,28,2381005.0,898947.0,664461.0,7624.0
New Mexico,35,1999255.0,1050052.0,748386.0,15180.0
North Dakota,38,626540.0,295754.0,243968.0,3535.0
Wyoming,56,476085.0,194530.0,155469.0,3532.0
Alaska,02,759125.0,300706.0,249036.0,3292.0
Maine,23,1265690.0,699989.0,487794.0,10409.0
Alabama,01,3960530.0,1549782.0,1066659.0,25809.0
Idaho,16,1386985.0,596746.0,463848.0,9645.0
Montana,30,963855.0,427551.0,326467.0,6240.0
West Virginia,54,1624925.0,632384.0,519432.0,7833.0
