state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8316630.0,3913794.0,3003937.0,62496.0
Illinois,17,13306375.0,6365032.0,4563993.0,78055.0
California,06,44241580.0,20838068.0,14904046.0,279347.0
Arizona,04,7465065.0,3157721.0,2419252.0,31519.0
Massachusetts,25,8523650.0,4264932.0,3173423.0,62800.0
Wisconsin,55,5693955.0,2791987.0,2401965.0,29050.0
Texas,48,28654065.0,11790547.0,9264949.0,131576.0
Nebraska,31,1912970.0,879897.0,756059.0,10355.0
Utah,49,2933850.0,1352201.0,928638.0,17122.0
Oregon,41,4539165.0,2112050.0,1616676.0,37516.0
Florida,12,22546275.0,9809136.0,7607709.0,153406.0
New York,36,21214265.0,10005881.0,8192250.0,131908.0
Rhode Island,44,1357925.0,597301.0,481912.0,10295.0
Georgia,13,10223535.0,3971980.0,3095445.0,44683.0
New Hampshire,33,1524445.0,810845.0,481364.0,9027.0
North Carolina,37,10876760.0,4310158.0,3547910.0,36634.0
New Jersey,34,10138285.0,4957429.0,3889378.0,63182.0
Colorado,08,6403480.0,2880006.0,2335422.0,41545.0
Maryland,24,7154150.0,3198184.0,2533348.0,49447.0
Nevada,32,2727720.0,1303628.0,1028426.0,18255.0
Tennessee,47,5806670.0,2511475.0,1997340.0,29261.0
Hawaii,15,1657410.0,861906.0,609688.0,9763.0
Indiana,18,5987240.0,2625819.0,2160955.0,34235.0
Kentucky,21,4173955.0,1934514.0,1603566.0,17761.0
Minnesota,27,5776950.0,2857017.0,2314759.0,36980.0
Oklahoma,40,3860065.0,1580832.0,1273983.0,9033.0
Pennsylvania,42,14115885.0,6940458.0,4944458.0,82704.0
South Carolina,45,4855205.0,1985740.0,1615969.0,18506.0
District of Columbia,11,960675.0,375790.0,269389.0,7205.0
Kansas,20,2888985.0,1295307.0,1054355.0,10005.0
Missouri,29,5674925.0,2433345.0,1963977.0,24140.0
Vermont,50,808250.0,399944.0,287383.0,7277.0
Virginia,51,9189605.0,4356689.0,3414563.0,56581.0
Connecticut,09,4238825.0,2089008.0,1698193.0,27722.0
Iowa,19,3099895.0,1460918.0,1266340.0,14799.0
Louisiana,22,3797620.0,1580440.0,1371256.0,13450.0
Ohio,39,11344535.0,4998843.0,4368365.0,53407.0
Michigan,26,10576610.0,4546214.0,3817108.0,56170.0
South Dakota,46,922975.0,409611.0,362808.0,2487.0
Arkansas,05,2720090.0,1129189.0,876239.0,9848.0
Delaware,10,1122975.0,490115.0,377646.0,5481.0
Mississippi,28,2529915.0,965874.0,767334.0,4635.0
New Mexico,35,2169015.0,1133145.0,922041.0,11757.0
North Dakota,38,664790.0,308900.0,267334.0,1653.0
Wyoming,56,495435.0,204468.0,175581.0,1272.0
Alaska,02,792755.0,318593.0,275681.0,1760.0
Maine,23,1628280.0,789980.0,653998.0,10411.0
Alabama,01,4373130.0,1697289.0,1348023.0,17613.0
Idaho,16,1539755.0,640088.0,546992.0,5742.0
Montana,30,1049245.0,457817.0,385055.0,3804.0
West Virginia,54,1731955.0,678430.0,587339.0,5123.0
