state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,7368520.0,3602356.0,2534143.0,71088.0
Illinois,17,12180665.0,5980404.0,3962710.0,90071.0
California,06,39630080.0,19593097.0,12505853.0,340912.0
Arizona,04,6652295.0,2997499.0,2163427.0,41448.0
Massachusetts,25,7459960.0,3949547.0,2608161.0,84036.0
Wisconsin,55,5279725.0,2687564.0,2119984.0,40674.0
Texas,48,25514685.0,11199365.0,8037727.0,175147.0
Nebraska,31,1787950.0,839497.0,647708.0,13339.0
Utah,49,2556860.0,1274583.0,781601.0,18893.0
Oregon,41,3902545.0,1914321.0,1332714.0,37575.0
Florida,12,20888605.0,9086831.0,6413816.0,146980.0
New York,36,19018995.0,9394909.0,6937401.0,178220.0
Rhode Island,44,1151925.0,564534.0,400124.0,10801.0
Georgia,13,9483435.0,3755111.0,2699753.0,76569.0
New Hampshire,33,1331925.0,825724.0,407883.0,3429.0
North Carolina,37,9907630.0,4157863.0,3169834.0,62937.0
New Jersey,34,8769895.0,4634016.0,3286591.0,74521.0
Colorado,08,5425720.0,2708668.0,1932846.0,48342.0
Maryland,24,6148520.0,2971602.0,2111427.0,51586.0
Nevada,32,2540440.0,1235256.0,888966.0,18690.0
Tennessee,47,5555100.0,2369715.0,1725959.0,34286.0
Hawaii,15,1480670.0,760121.0,517810.0,13790.0
Indiana,18,5530460.0,2466332.0,1866680.0,41710.0
Kentucky,21,3979265.0,1851645.0,1449769.0,21076.0
Minnesota,27,5030120.0,2695191.0,2001713.0,50971.0
Oklahoma,40,3775865.0,1534782.0,1195185.0,14194.0
Pennsylvania,42,12877055.0,6444967.0,4226547.0,109908.0
South Carolina,45,4577065.0,1899777.0,1448468.0,29209.0
District of Columbia,11,864815.0,344415.0,217523.0,6788.0
Kansas,20,2760075.0,1249696.0,947002.0,13903.0
Missouri,29,5355995.0,2336367.0,1731099.0,36721.0
Vermont,50,694440.0,353166.0,241701.0,7899.0
Virginia,51,8229955.0,4080155.0,2915421.0,79264.0
Connecticut,09,3915915.0,1980863.0,1425477.0,34878.0
Iowa,19,2825705.0,1403574.0,1109016.0,22404.0
Louisiana,22,3679770.0,1499129.0,1238388.0,8806.0
Ohio,39,10644875.0,4767048.0,3884844.0,75353.0
Michigan,26,9500250.0,4309430.0,3293231.0,73108.0
South Dakota,46,904095.0,397920.0,335011.0,4913.0
Arkansas,05,2644650.0,1081910.0,788238.0,14201.0
Delaware,10,982455.0,461551.0,330159.0,9136.0
Mississippi,28,2465195.0,926007.0,708343.0,10186.0
New Mexico,35,2059345.0,1078901.0,808654.0,13615.0
North Dakota,38,645930.0,300674.0,252915.0,2280.0
Wyoming,56,483195.0,197340.0,162328.0,2484.0
Alaska,02,769205.0,308462.0,263330.0,3259.0
Maine,23,1407470.0,741352.0,539997.0,13367.0
Alabama,01,4130550.0,1601433.0,1165479.0,21615.0
Idaho,16,1437665.0,613081.0,497882.0,7948.0
Montana,30,999975.0,440422.0,351930.0,5793.0
West Virginia,54,1658905.0,644067.0,553522.0,6657.0
