state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,6667750.0,3348424.0,2290249.0,74379.0
Illinois,17,11286585.0,5679905.0,3619026.0,117426.0
California,06,36101260.0,18487071.0,11201869.0,386663.0
Arizona,04,6285415.0,2884396.0,1987117.0,52397.0
Massachusetts,25,6771230.0,3657935.0,2306492.0,86610.0
Wisconsin,55,5004705.0,2596952.0,1928609.0,56538.0
Texas,48,23721275.0,10747645.0,7267787.0,205715.0
Nebraska,31,1690180.0,813693.0,579206.0,11152.0
Utah,49,2367860.0,1218407.0,705617.0,23489.0
Oregon,41,3557915.0,1781648.0,1195669.0,39864.0
Florida,12,19584145.0,8637660.0,5831490.0,152192.0
New York,36,17625975.0,8885577.0,6185368.0,171600.0
Rhode Island,44,1065185.0,528807.0,362965.0,11859.0
Georgia,13,8793835.0,3594066.0,2331518.0,66001.0
New Hampshire,33,1227615.0,807390.0,400117.0,3993.0
North Carolina,37,9241800.0,4011726.0,2871480.0,69084.0
New Jersey,34,7963795.0,4402662.0,2974166.0,91296.0
Colorado,08,4968480.0,2592016.0,1727477.0,60028.0
Maryland,24,5544960.0,2800331.0,1916292.0,66090.0
Nevada,32,2396080.0,1183949.0,808503.0,18864.0
Tennessee,47,5396000.0,2286642.0,1574802.0,41782.0
Hawaii,15,1370040.0,706055.0,473499.0,31217.0
Indiana,18,5220380.0,2351172.0,1684341.0,38649.0
Kentucky,21,3747885.0,1796865.0,1355086.0,27123.0
Minnesota,27,4634790.0,2533687.0,1804481.0,47389.0
Oklahoma,40,3699765.0,1503524.0,1127304.0,20212.0
Pennsylvania,42,11822805.0,6058101.0,3828493.0,144282.0
South Carolina,45,4313565.0,1831607.0,1312372.0,26557.0
District of Columbia,11,780595.0,319465.0,193477.0,8045.0
Kansas,20,2576035.0,1219082.0,871618.0,20057.0
Missouri,29,5095385.0,2230728.0,1584164.0,42341.0
Vermont,50,633640.0,322109.0,217157.0,7258.0
Virginia,51,7521285.0,3858089.0,2592303.0,85460.0
Connecticut,09,3716115.0,1878986.0,1278901.0,40804.0
Iowa,19,2664745.0,1355221.0,1000402.0,24866.0
Louisiana,22,3612910.0,1479847.0,1196740.0,22680.0
Ohio,39,10062385.0,4610653.0,3520097.0,94724.0
Michigan,26,8738230.0,4114799.0,2963747.0,87341.0
South Dakota,46,859215.0,390725.0,306537.0,5888.0
Arkansas,05,2586420.0,1051126.0,724087.0,16135.0
Delaware,10,903465.0,439329.0,290409.0,9808.0
Mississippi,28,2381005.0,898809.0,664261.0,7661.0
New Mexico,35,1999255.0,1046951.0,745059.0,16097.0
North Dakota,38,626540.0,295375.0,242962.0,3675.0
Wyoming,56,476085.0,192439.0,150517.0,2490.0
Alaska,02,759125.0,300351.0,248428.0,3447.0
Maine,23,1265690.0,699048.0,486986.0,14210.0
Alabama,01,3960530.0,1546659.0,1062524.0,25590.0
Idaho,16,1386985.0,595128.0,459853.0,9815.0
Montana,30,963855.0,426757.0,324791.0,7712.0
West Virginia,54,1624925.0,632161.0,518956.0,7822.0
