state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8547640.0,4072276.0,3223026.0,61881.0
Illinois,17,13624835.0,6603486.0,4793235.0,76539.0
California,06,45922020.0,21531027.0,15907632.0,294001.0
Arizona,04,7627825.0,3240593.0,2498817.0,28112.0
Massachusetts,25,8935720.0,4398862.0,3374820.0,56719.0
Wisconsin,55,5806725.0,2863500.0,2481971.0,26064.0
Texas,48,29372305.0,12273765.0,9755603.0,158632.0
Nebraska,31,1963980.0,899003.0,780712.0,6150.0
Utah,49,3019110.0,1402667.0,989051.0,15407.0
Oregon,41,4898945.0,2193956.0,1724172.0,30913.0
Florida,12,23115935.0,10078705.0,7907005.0,116480.0
New York,36,21959275.0,10372058.0,8613844.0,136779.0
Rhode Island,44,1435295.0,617140.0,517581.0,9952.0
Georgia,13,10447805.0,4068991.0,3208104.0,35959.0
New Hampshire,33,1610365.0,867505.0,555472.0,18265.0
North Carolina,37,11004830.0,4418989.0,3655309.0,35723.0
New Jersey,34,10652665.0,5128880.0,4101787.0,63985.0
Colorado,08,6575200.0,2959897.0,2436954.0,31740.0
Maryland,24,7542560.0,3305995.0,2676633.0,42429.0
Nevada,32,2783440.0,1342834.0,1072757.0,16499.0
Tennessee,47,5934750.0,2589957.0,2085654.0,30840.0
Hawaii,15,1755130.0,905873.0,647759.0,14895.0
Indiana,18,6199020.0,2706838.0,2262150.0,31884.0
Kentucky,21,4234215.0,1988428.0,1652655.0,16574.0
Minnesota,27,6035520.0,2946856.0,2442788.0,37225.0
Oklahoma,40,3879105.0,1608059.0,1300900.0,9292.0
Pennsylvania,42,14563035.0,7185382.0,5234840.0,87551.0
South Carolina,45,4949735.0,2034116.0,1667179.0,16402.0
District of Columbia,11,1004165.0,388817.0,302802.0,8013.0
Kansas,20,2923755.0,1320748.0,1078293.0,8053.0
Missouri,29,5786515.0,2506098.0,2035888.0,22853.0
Vermont,50,854980.0,420948.0,313653.0,8238.0
Virginia,51,9438815.0,4514420.0,3607373.0,58237.0
Connecticut,09,4410955.0,2164655.0,1793724.0,28412.0
Iowa,19,3197385.0,1502575.0,1320401.0,15516.0
Louisiana,22,3834500.0,1612101.0,1402829.0,10791.0
Ohio,39,11652845.0,5144102.0,4506343.0,46374.0
Michigan,26,10869770.0,4687194.0,3987921.0,53159.0
South Dakota,46,929225.0,416205.0,367320.0,2410.0
Arkansas,05,2737020.0,1154071.0,901190.0,9128.0
Delaware,10,1172915.0,503642.0,392182.0,4578.0
Mississippi,28,2562535.0,987315.0,787599.0,5827.0
New Mexico,35,2215315.0,1164237.0,954654.0,10841.0
North Dakota,38,676050.0,313384.0,271413.0,1576.0
Wyoming,56,500415.0,208848.0,179026.0,1355.0
Alaska,02,801405.0,327119.0,280509.0,2158.0
Maine,23,1722040.0,817679.0,689120.0,10189.0
Alabama,01,4449370.0,1727437.0,1387356.0,12271.0
Idaho,16,1565975.0,651954.0,562884.0,4530.0
Montana,30,1064705.0,468993.0,395494.0,3787.0
West Virginia,54,1789735.0,699247.0,596994.0,4947.0
