state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,6411100.0,3174012.0,2130349.0,72641.0
Illinois,17,10713065.0,5414331.0,3324660.0,124764.0
California,06,34409560.0,17580351.0,10318378.0,470327.0
Arizona,04,6028435.0,2780137.0,1851575.0,54448.0
Massachusetts,25,6362390.0,3443826.0,2116180.0,81813.0
Wisconsin,55,4776225.0,2505098.0,1748989.0,59965.0
Texas,48,23032495.0,10389002.0,6734779.0,207936.0
Nebraska,31,1624360.0,800637.0,552888.0,14141.0
Utah,49,2283230.0,1174353.0,651042.0,25933.0
Oregon,41,3466045.0,1685787.0,1092175.0,37885.0
Florida,12,18605965.0,8330819.0,5343155.0,192906.0
New York,36,16746585.0,8552612.0,5789997.0,195802.0
Rhode Island,44,983725.0,495955.0,345231.0,10643.0
Georgia,13,8341495.0,3511811.0,2146103.0,84806.0
New Hampshire,33,1157055.0,798857.0,393966.0,15137.0
North Carolina,37,8654440.0,3877123.0,2676540.0,78807.0
New Jersey,34,7444665.0,4209267.0,2759775.0,90764.0
Colorado,08,4792990.0,2491259.0,1561775.0,59197.0
Maryland,24,5223150.0,2665939.0,1767219.0,67699.0
Nevada,32,2323160.0,1142561.0,764096.0,24262.0
Tennessee,47,5241110.0,2218245.0,1440463.0,46225.0
Hawaii,15,1326600.0,666712.0,445314.0,29677.0
Indiana,18,5086110.0,2272992.0,1572858.0,45873.0
Kentucky,21,3604785.0,1751440.0,1262794.0,35246.0
Minnesota,27,4508120.0,2432589.0,1674819.0,49326.0
Oklahoma,40,3567185.0,1478450.0,1064060.0,24146.0
Pennsylvania,42,11156275.0,5720590.0,3506017.0,133482.0
South Carolina,45,4074705.0,1796524.0,1238348.0,35666.0
District of Columbia,11,720775.0,301868.0,174124.0,8615.0
Kansas,20,2486365.0,1184543.0,794417.0,23076.0
Missouri,29,4911445.0,2141338.0,1460804.0,46508.0
Vermont,50,602600.0,305255.0,204701.0,7904.0
Virginia,51,7215325.0,3688759.0,2365218.0,86407.0
Connecticut,09,3521165.0,1793931.0,1177610.0,42592.0
Iowa,19,2574135.0,1309687.0,920481.0,25664.0
Louisiana,22,3563140.0,1451415.0,1119639.0,26397.0
Ohio,39,9605145.0,4479233.0,3215822.0,101348.0
Michigan,26,8482260.0,3930114.0,2701490.0,90328.0
South Dakota,46,826965.0,382887.0,281124.0,5688.0
Arkansas,05,2472660.0,1024343.0,670829.0,19587.0
Delaware,10,849255.0,417489.0,262007.0,10398.0
Mississippi,28,2298885.0,883421.0,644899.0,13461.0
New Mexico,35,1931405.0,1015043.0,693660.0,17950.0
North Dakota,38,601100.0,290336.0,229053.0,4546.0
Wyoming,56,472315.0,189930.0,144916.0,2260.0
Alaska,02,749605.0,294331.0,239813.0,3574.0
Maine,23,1204480.0,671564.0,455240.0,14431.0
Alabama,01,3796070.0,1507116.0,987379.0,27377.0
Idaho,16,1345955.0,580512.0,426149.0,10991.0
Montana,30,921715.0,414396.0,303100.0,7811.0
West Virginia,54,1586845.0,623247.0,486634.0,8764.0
