state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,7368520.0,3565288.0,2493486.0,72914.0
Illinois,17,12180665.0,5939733.0,3908928.0,95862.0
California,06,39630080.0,19444906.0,12282199.0,359825.0
Arizona,04,6652295.0,2981885.0,2139453.0,44097.0
Massachusetts,25,7459960.0,3909748.0,2558500.0,86322.0
Wisconsin,55,5279725.0,2674704.0,2092154.0,43728.0
Texas,48,25514685.0,11164737.0,7960964.0,186869.0
Nebraska,31,1787950.0,833686.0,627277.0,9691.0
Utah,49,2556860.0,1274391.0,781308.0,18899.0
Oregon,41,3902545.0,1870231.0,1285928.0,32498.0
Florida,12,20888605.0,9084980.0,6410614.0,176482.0
New York,36,19018995.0,9345352.0,6861832.0,183936.0
Rhode Island,44,1151925.0,561055.0,393974.0,11450.0
Georgia,13,9483435.0,3732623.0,2649030.0,66414.0
New Hampshire,33,1331925.0,823050.0,406448.0,3390.0
North Carolina,37,9907630.0,4132341.0,3103991.0,61125.0
New Jersey,34,8769795.0,4615887.0,3253642.0,79205.0
Colorado,08,5425720.0,2697032.0,1901152.0,62007.0
Maryland,24,6148420.0,2958451.0,2096169.0,57619.0
Nevada,32,2540440.0,1228338.0,873639.0,18913.0
Tennessee,47,5555100.0,2356831.0,1699653.0,35997.0
Hawaii,15,1480670.0,753539.0,511672.0,14844.0
Indiana,18,5530460.0,2448580.0,1837863.0,41097.0
Kentucky,21,3979265.0,1844395.0,1437837.0,22339.0
Minnesota,27,5030120.0,2675504.0,1966598.0,54677.0
Oklahoma,40,3775865.0,1529653.0,1183689.0,15232.0
Pennsylvania,42,12877055.0,6417965.0,4191552.0,115389.0
South Carolina,45,4577065.0,1891612.0,1430024.0,30717.0
District of Columbia,11,864815.0,341552.0,213945.0,7203.0
Kansas,20,2760075.0,1244566.0,932563.0,14707.0
Missouri,29,5355995.0,2324310.0,1701405.0,41423.0
Vermont,50,694440.0,347866.0,236673.0,7862.0
Virginia,51,8229955.0,4056353.0,2868921.0,79191.0
Connecticut,09,3915915.0,1967859.0,1402619.0,36764.0
Iowa,19,2825705.0,1397910.0,1089362.0,23814.0
Louisiana,22,3679770.0,1498914.0,1238226.0,12252.0
Ohio,39,10644875.0,4745686.0,3838076.0,81041.0
Michigan,26,9500250.0,4285781.0,3248981.0,79093.0
South Dakota,46,904095.0,397714.0,334492.0,5923.0
Arkansas,05,2644650.0,1077072.0,777244.0,13769.0
Delaware,10,982455.0,458536.0,323760.0,9473.0
Mississippi,28,2464025.0,925776.0,707954.0,10306.0
New Mexico,35,2059345.0,1073708.0,795559.0,13575.0
North Dakota,38,645930.0,300087.0,251660.0,2653.0
Wyoming,56,483195.0,197208.0,162127.0,2476.0
Alaska,02,769205.0,307711.0,262217.0,3386.0
Maine,23,1407470.0,741252.0,539689.0,13536.0
Alabama,01,4130550.0,1599130.0,1161725.0,22271.0
Idaho,16,1437665.0,610267.0,488810.0,8226.0
Montana,30,999975.0,438618.0,347472.0,6067.0
West Virginia,54,1658905.0,643372.0,550960.0,6790.0
