state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,8757240.0,4211207.0,3394775.0,61953.0
Illinois,17,13863855.0,6809345.0,4950277.0,77498.0
California,06,46503430.0,22021826.0,16554884.0,244708.0
Arizona,04,7702125.0,3313198.0,2567678.0,27544.0
Massachusetts,25,9047540.0,4493781.0,3528240.0,54321.0
Wisconsin,55,5861445.0,2927040.0,2541818.0,25815.0
Texas,48,29891635.0,12570927.0,10033635.0,128620.0
Nebraska,31,1972420.0,919086.0,799625.0,7225.0
Utah,49,3059860.0,1439613.0,1026085.0,15491.0
Oregon,41,5152745.0,2261605.0,1824408.0,32122.0
Florida,12,23273055.0,10341847.0,8151970.0,107894.0
New York,36,22323405.0,10619570.0,8875904.0,127093.0
Rhode Island,44,1444145.0,633106.0,531736.0,6695.0
Georgia,13,10569965.0,4125559.0,3277423.0,36257.0
New Hampshire,33,1686955.0,878686.0,562776.0,11180.0
North Carolina,37,11112490.0,4492551.0,3724421.0,31224.0
New Jersey,34,10738395.0,5241897.0,4226392.0,54606.0
Colorado,08,6639120.0,3063061.0,2544297.0,34550.0
Maryland,24,7727500.0,3408807.0,2809923.0,41672.0
Nevada,32,2824590.0,1374266.0,1105303.0,13179.0
Tennessee,47,5979940.0,2638834.0,2130107.0,21103.0
Hawaii,15,1801380.0,928196.0,666775.0,9806.0
Indiana,18,6291460.0,2762357.0,2327442.0,27787.0
Kentucky,21,4261705.0,2038014.0,1686127.0,17097.0
Minnesota,27,6183830.0,3015856.0,2529780.0,34722.0
Oklahoma,40,3895855.0,1626968.0,1317181.0,8134.0
Pennsylvania,42,14791175.0,7331331.0,5417937.0,71671.0
South Carolina,45,4999715.0,2072695.0,1700920.0,15400.0
District of Columbia,11,1012995.0,396264.0,316547.0,5377.0
Kansas,20,2934905.0,1346445.0,1101730.0,9482.0
Missouri,29,5818955.0,2555436.0,2074228.0,18652.0
Vermont,50,879620.0,438135.0,334376.0,8933.0
Virginia,51,9600025.0,4623537.0,3732813.0,53522.0
Connecticut,09,4474245.0,2216338.0,1855397.0,24593.0
Iowa,19,3236145.0,1532096.0,1353630.0,13916.0
Louisiana,22,3863900.0,1638719.0,1426743.0,10882.0
Ohio,39,11802315.0,5269020.0,4609960.0,46588.0
Michigan,26,11079590.0,4776710.0,4088489.0,43650.0
South Dakota,46,933675.0,421938.0,371636.0,2100.0
Arkansas,05,2744150.0,1174803.0,920647.0,8692.0
Delaware,10,1194755.0,518914.0,406452.0,5401.0
Mississippi,28,2573115.0,1003218.0,800835.0,6174.0
New Mexico,35,2256915.0,1188995.0,980700.0,10648.0
North Dakota,38,684070.0,317453.0,274839.0,1716.0
Wyoming,56,501965.0,211764.0,181605.0,1379.0
Alaska,02,805355.0,332524.0,283908.0,1855.0
Maine,23,1740700.0,838272.0,714892.0,10507.0
Alabama,01,4501400.0,1757607.0,1419599.0,13786.0
Idaho,16,1588015.0,663076.0,575257.0,4535.0
Montana,30,1074025.0,477012.0,402458.0,3365.0
West Virginia,54,1801765.0,716350.0,603382.0,5230.0
