state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,6667750.0,3305388.0,2245053.0,74651.0
Illinois,17,11286585.0,5618182.0,3548134.0,121804.0
California,06,36095210.0,18212594.0,10974104.0,390331.0
Arizona,04,6285415.0,2859184.0,1955806.0,53506.0
Massachusetts,25,6771230.0,3604461.0,2255295.0,84555.0
Wisconsin,55,5004705.0,2576863.0,1887291.0,58927.0
Texas,48,23721275.0,10668749.0,7155176.0,194714.0
Nebraska,31,1690180.0,813461.0,578601.0,12737.0
Utah,49,2367760.0,1218193.0,705307.0,23473.0
Oregon,41,3557915.0,1754218.0,1167265.0,38622.0
Florida,12,19583945.0,8561469.0,5701137.0,174740.0
New York,36,17625975.0,8812307.0,6096861.0,184852.0
Rhode Island,44,1065185.0,520408.0,357627.0,11461.0
Georgia,13,8793835.0,3592667.0,2328997.0,79306.0
New Hampshire,33,1227615.0,804407.0,399399.0,5025.0
North Carolina,37,9241800.0,3972578.0,2833404.0,71791.0
New Jersey,34,7963795.0,4362697.0,2930275.0,91149.0
Colorado,08,4968480.0,2542919.0,1639963.0,51089.0
Maryland,24,5544960.0,2767167.0,1881341.0,75904.0
Nevada,32,2396080.0,1172829.0,796601.0,19977.0
Tennessee,47,5396000.0,2269505.0,1541957.0,43104.0
Hawaii,15,1370040.0,694910.0,464503.0,30289.0
Indiana,18,5220380.0,2334098.0,1659992.0,39941.0
Kentucky,21,3747885.0,1788213.0,1336408.0,29945.0
Minnesota,27,4634790.0,2498179.0,1760412.0,46622.0
Oklahoma,40,3699765.0,1497014.0,1110867.0,21193.0
Pennsylvania,42,11822805.0,6011913.0,3776497.0,148489.0
South Carolina,45,4313565.0,1820274.0,1288767.0,27458.0
District of Columbia,11,780595.0,315394.0,187300.0,8202.0
Kansas,20,2576035.0,1212818.0,853219.0,20473.0
Missouri,29,5095385.0,2195260.0,1545823.0,41858.0
Vermont,50,633640.0,315912.0,213558.0,8439.0
Virginia,51,7521285.0,3828270.0,2546964.0,86223.0
Connecticut,09,3716115.0,1858560.0,1250211.0,40858.0
Iowa,19,2664745.0,1344446.0,977098.0,24592.0
Louisiana,22,3612910.0,1472582.0,1180168.0,23367.0
Ohio,39,10062385.0,4578637.0,3446025.0,95377.0
Michigan,26,8738230.0,4073953.0,2895690.0,88098.0
South Dakota,46,859215.0,388763.0,300874.0,5939.0
Arkansas,05,2586420.0,1046195.0,711646.0,17377.0
Delaware,10,903465.0,433501.0,282486.0,9681.0
Mississippi,28,2381005.0,898385.0,662955.0,12735.0
New Mexico,35,1999255.0,1039283.0,735020.0,16542.0
North Dakota,38,626540.0,294090.0,240077.0,3886.0
Wyoming,56,476085.0,192278.0,150366.0,2471.0
Alaska,02,759125.0,299312.0,246821.0,3874.0
Maine,23,1265690.0,698363.0,486026.0,14176.0
Alabama,01,3960530.0,1543544.0,1054863.0,25832.0
Idaho,16,1386985.0,591197.0,449914.0,10070.0
Montana,30,963855.0,424582.0,318985.0,6654.0
West Virginia,54,1624925.0,631298.0,515490.0,7979.0
